"CustomerID","RegistrationDate","Age","Gender","IncomeLevel","Country","City","TotalPurchases","AverageOrderValue","CustomerLifetimeValue","FavoriteCategory","SecondFavoriteCategory","EmailEngagementRate","SocialMediaEngagementRate","MobileAppUsage","CustomerServiceInteractions","AverageSatisfactionScore","EmailConversionRate","SocialMediaConversionRate","SearchEngineConversionRate","RepeatCustomer","PremiumMember","HasReturnedItems"
"CUST00002",2021-07-18,35,"Prefer not to say","High","Germany","London",6,27.6388526551756,181.725055577768,"Electronics","Toys",0.344574280359434,0.140987865857278,"Low",0,7.72191690368186,0.30097874139168,0.230821037235044,0.290734770108393,"Yes","No","No"
"CUST00004",2020-12-31,49,"Female","High","Australia","Los Angeles",5,14.1942627038678,86.2197400750291,"Sports","Clothing",0.356764807620375,0.268427944534914,"Never",1,7.82945886671862,0.0740974453892844,0.206643817058519,0.28106714958527,"Yes","Yes","No"
"CUST00007",2019-04-12,23,"Other","Very High","Canada","Los Angeles",0,42.4879128677508,771.246463996882,"Beauty","Home Goods",0.505086644077234,0.569196062840094,"Low",0,6.33985484871262,0.344378402249624,0.223773970209893,0.183313347041789,"No","No","No"
"CUST00008",2021-05-23,57,"Other","Medium","Germany","Berlin",1,49.1844619836121,158.35204404951,"Home Goods","Toys",0.29960042519017,0.400533728372792,"High",0,8.71854652404672,0.1973032383091,0.449773749870613,0.1484009920304,"No","No","No"
"CUST00010",2022-01-22,16,"Other","High","Australia","Los Angeles",5,67.2195482666936,449.88296198245,"Food","Beauty",0.470917018180433,0.400635779000317,"Never",2,4.20215960264144,0.143863186214939,0.250372100521994,0.108501639181424,"Yes","No","No"
"CUST00011",2023-11-06,64,"Other","Low","Australia","New York",4,19.9937312636125,60.1094280793154,"Sports","Clothing",0.283203543608665,0.00237780991342278,"Never",2,8.79345530188616,0.0972732732035177,0.239863911977321,0.2963929160307,"Yes","No","Yes"
"CUST00012",2018-05-11,28,"Prefer not to say","High","France","Berlin",4,23.9355870189687,771.246463996882,"Home Goods","Home Goods",0.33967519127314,0.186351114167793,"Medium",1,8.785575522629,0.184280486906439,0.112963604171894,0.198515160045609,"Yes","No","No"
"CUST00013",2022-08-13,53,"Other","Very High","France","Paris",5,177.864502321276,813.533790173667,"Home Goods","Clothing",0.184966780102911,0.493077079385586,"Low",4,6.90256356302226,0.192280772193263,0.196217310340438,0.206118093944608,"Yes","No","No"
"CUST00014",2020-02-09,37,"Other","High","UK","Los Angeles",4,154.417842027738,540.311554409534,"Home Goods","Beauty",0.134930941387352,0.471502785952518,"Medium",2,5.51380788637502,0.18718468877806,0.16029560961232,0.102183959117743,"Yes","No","Yes"
"CUST00015",2022-02-24,40,"Prefer not to say","Very High","Australia","London",2,54.9665589418475,159.066976586792,"Beauty","Beauty",0.283203543608665,0.531891117437868,"Low",2,7.30990164992062,0.0925610935914771,0.148939516763369,0.283168542114812,"Yes","Yes","No"
"CUST00016",2021-04-30,48,"Other","Very High","France","Sydney",1,191.166566929232,256.686646702814,"Beauty","Food",0.236587190653733,0.287286465962056,"Low",1,7.39392085960019,0.0772505945988323,0.128733438365056,0.233329962994217,"No","No","No"
"CUST00017",2020-08-13,47,"Prefer not to say","Very High","Other","New York",9,45.3424407416704,296.312206409059,"Beauty","Beauty",0.571443801099353,0.307049664726179,"Medium",4,7.15211440874003,0.1973032383091,0.466631087414941,0.0923984824851517,"Yes","No","No"
"CUST00018",2021-03-30,29,"Male","Very High","UK","Tokyo",6,48.4561811498002,771.246463996882,"Beauty","Beauty",0.435826329239224,0.518930204496219,"Never",0,7.21605870748191,0.257177349884571,0.178641117009554,0.38382245547461,"Yes","No","No"
"CUST00019",2019-04-05,42,"Male","Medium","Germany","Berlin",6,9.84416040120862,771.246463996882,"Toys","Home Goods",0.0912050622415986,0.287286465962056,"High",6,7.31519166317296,0.122048108557267,0.0413831743780874,0.329487676979323,"Yes","No","Yes"
"CUST00020",2018-01-22,41,"Male","Low","Canada","Berlin",6,191.166566929232,40.8314215620187,"Electronics","Toys",0.571795410046368,0.0529198942967157,"Never",2,5.3272890365528,0.224498403036708,0.14346299631192,0.164184114605905,"Yes","No","Yes"
"CUST00021",2020-01-18,38,"Male","Medium","Germany","Tokyo",4,158.980725705502,771.246463996882,"Toys","Home Goods",0.283203543608665,0.236064617465177,"Never",4,2.53931890413221,0.327074505734247,0.252298433039175,0.137251096343781,"Yes","No","No"
"CUST00022",2019-04-20,31,"Female","Medium","Japan","London",0,194.59970578161,43.5963237942098,"Clothing","Home Goods",0.283203543608665,0.528677603750754,"Never",2,8.46139956601879,0.0892550987953138,0.1202847542866,0.0656374921457526,"No","Yes","No"
"CUST00023",2020-12-18,38,"Other","Medium","Canada","Other",5,15.3811558067467,285.354859171075,"Beauty","Beauty",0.0802018994483611,0.290986072010152,"Never",2,7.18199729998487,0.194144688156709,0.306838788100212,0.373388289849144,"Yes","Yes","No"
"CUST00024",2023-08-10,64,"Female","Medium","USA","Paris",6,7.34436139103019,85.6843666242424,"Sports","Electronics",0.248950928513746,0.319845727902616,"High",1,9.31783627700776,0.13003390847804,0.043317418154207,0.307552028721249,"Yes","No","Yes"
"CUST00026",2022-12-12,53,"Other","Very High","Other","Paris",0,9.31466066826083,18.0682728062101,"Books","Clothing",0.207810516215982,0.332720212813654,"High",2,9.32161340527619,0.228469966430653,0.34197715439285,0.109246833465927,"No","No","No"
"CUST00027",2018-07-09,25,"Prefer not to say","High","Japan","Sydney",8,45.6530249571311,443.75970405755,"Beauty","Clothing",0.126347755781705,0.216048467597154,"Never",0,7.23009304062516,0.104449505182991,0.385474439017933,0.0571753800267459,"Yes","No","No"
